run_mode,spark_version,hudi_version,table_version,table_type,table_name,is_cdc,query_type,status,count,error_message
upgrade,3.1.3,0.12.3,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,snapshot,FAILED,0,java.lang.ClassCastException: java.lang.Integer cannot be cast to [Lorg.apache.hudi.common.model.DeleteRecord;
upgrade,3.1.3,0.12.3,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,incremental,FAILED,0,java.lang.NullPointerException
upgrade,3.1.3,0.12.3,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,timetravel,FAILED,0,java.lang.NullPointerException
upgrade,3.1.3,0.12.3,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,read_optimized,SUCCESS,25,
upgrade,3.2.3,0.12.3,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,snapshot,FAILED,0,java.lang.ClassCastException: java.lang.Integer cannot be cast to [Lorg.apache.hudi.common.model.DeleteRecord;
upgrade,3.2.3,0.12.3,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,incremental,FAILED,0,java.lang.NullPointerException
upgrade,3.2.3,0.12.3,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,timetravel,FAILED,0,java.lang.NullPointerException
upgrade,3.2.3,0.12.3,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,read_optimized,SUCCESS,25,
upgrade,3.3.1,0.12.3,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,snapshot,FAILED,0,java.lang.ClassCastException: java.lang.Integer cannot be cast to [Lorg.apache.hudi.common.model.DeleteRecord;
upgrade,3.3.1,0.12.3,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,incremental,FAILED,0,java.lang.NullPointerException
upgrade,3.3.1,0.12.3,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,timetravel,FAILED,0,java.lang.NullPointerException
upgrade,3.3.1,0.12.3,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,read_optimized,SUCCESS,25,
upgrade,3.4.1,0.15.0,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,snapshot,SUCCESS,22,
upgrade,3.4.1,0.15.0,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,incremental,SUCCESS,8,
upgrade,3.4.1,0.15.0,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,timetravel,SUCCESS,20,
upgrade,3.4.1,0.15.0,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,read_optimized,SUCCESS,25,
upgrade,3.5.3,0.15.0,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,snapshot,SUCCESS,22,
upgrade,3.5.3,0.15.0,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,incremental,SUCCESS,8,
upgrade,3.5.3,0.15.0,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,timetravel,SUCCESS,20,
upgrade,3.5.3,0.15.0,6,MERGE_ON_READ,hudi_trips_mor_table_0_12_3_0_15_0,False,read_optimized,SUCCESS,25,
